height,color,cover,key
0.008169934,0.50326794,0.17755991,highlight
5.6625716E-4,0.4088225,0.13601547,highlight
0.004699818,0.4267738,0.20588236,highlight
0.011513158,0.44161186,0.16858552,highlight
3.7983397E-4,0.534557,0.21190779,highlight
0.002237637,0.63926494,0.25551018,highlight
4.691307E-4,0.528593,0.21590674,highlight
7.261393E-4,0.6108602,0.25787684,highlight
0.0072209616,0.14957705,0.08066846,text
0.0042007393,0.14926627,0.09521676,text
0.012783054,0.18517166,0.09897736,text
0.019188596,0.2236842,0.122258775,text
0.018846154,0.11923077,0.073846154,text
0.014911243,0.08402367,0.056094676,text
0.0034592536,0.397388,0.22540295,text
0.009097217,0.17731863,0.09937553,text
0.001545861,0.07452725,0.034823745,text
0.0058600963,0.15023994,0.05504799,text
0.0019011874,0.12964872,0.046413504,text
0.0052553993,0.11976329,0.0652225,text
0.0026398285,0.11484523,0.052872717,text
0.010008341,0.15587063,0.07895469,text
0.0032256017,0.089957274,0.045507424,text
0.016758712,0.34583887,0.16853932,text
0.0020403846,0.13720453,0.076098785,text
0.0014746051,0.25791523,0.14698409,text
0.005817712,0.2079459,0.10969122,text
0.0030067074,0.16657673,0.085318536,text
0.0043054884,0.16401094,0.07657331,text
0.004540821,0.21147253,0.110879436,text
0.0030067074,0.18739238,0.09570067,text
0.004998396,0.13370042,0.07136747,text
0.004745952,0.18648799,0.08743718,text
0.012017305,0.21054319,0.101746514,text
0.0031698837,0.14043678,0.071180284,text
0.009058181,0.34363025,0.18360238,text
0.0025187272,0.08824681,0.048038524,text
0.0041579134,0.30716038,0.1732318,text
0.0045454544,0.17798164,0.09678899,text
0.0017639116,0.07339481,0.03493924,text
0.006218642,0.17758462,0.097307615,text
0.0023634455,0.16172431,0.071145765,text
0.0021827826,0.0877329,0.042095065,text
0.0041870405,0.26469123,0.15581354,text
0.0041245855,0.16567728,0.08680903,text
