height,color,cover
0.0075431033,0.3114224,0.875
0.012387387,0.15990992,0.9065316
0.0048875855,0.62903225,0.5783643
0.03508772,0.33333334,0.84210527
0.004605642,0.5791595,0.6614853
0.009852217,0.13054186,0.963406
0.0051948056,0.1930736,0.8805195
0.0030165913,0.13235295,0.94494724
0.004608295,0.43701997,0.8172043
0.022505626,0.66541636,0.57014257
0.0061728396,0.7839506,0.47530866
0.012072435,0.19517101,0.9235412
0.0076530613,0.7191043,0.5345805
0.004192872,0.1687631,0.9250524
0.0070422534,0.16197182,0.95774645
0.011316872,0.1255144,0.9269547
0.0097402595,0.16233766,0.9383117
0.02764977,0.1889401,0.9354839
0.0058065685,0.63219017,0.5937216
0.008640553,0.6019585,0.59591013
0.028546713,0.09861592,0.9688582
0.0074639525,0.15182358,0.9355386
0.004749568,0.19214162,0.9386874
0.021428572,0.16428572,0.9392857
0.003202847,0.22491103,0.91565835
0.016666668,0.35000002,0.8416667
0.008571428,0.18857142,0.94
0.012820513,0.6217949,0.6730769
0.012166756,0.13311863,0.94399714
0.006976744,0.18992248,0.9139535
0.0021126296,0.60223144,0.59615767
0.009649123,0.17105263,0.94561404
0.012012012,0.21771772,0.9294295
0.010897436,0.16880342,0.92777777
0.005791506,0.277027,0.9131274
0.0072580646,0.09919354,0.97177416
0.010465116,0.113953486,0.9593023
0.025974026,0.19480519,0.9264069
0.013559322,0.3559322,0.7627119
0.0029069767,0.15697674,0.9331395
