coverage,colour,width,height
0.8382733474476594,192.0,327.0,26.0
0.9757085020242915,29.0,182.0,19.0
0.7852124094692465,248.0,319.0,29.0
0.5778769841269841,74.0,63.0,32.0
0.7771428571428571,115.0,70.0,35.0
0.7905982905982906,102.0,78.0,33.0
